"ID",MICROCONTROLER,COMPONENT,How to wire?,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3
0,ARDUINO,LED,"Plug the shorter leg of the LED to a hole on the breadboard. Connect that leg to a GND pin of the Arduino. Plug the longer leg of the LED to a different hole, on a different and independent line of the breadboard. Add a 220 Ohm resistor between this longer leg and a digital pin of the Arduino.",,,,
1,ARDUINO,Resistor,Resistors can be connected between the Arduino's digital pins and ground or to analog pins to modify voltage levels.,,,,
2,ARDUINO,Pushbutton,"Plug the push button in the middle of the breadboard. On one button’s leg connect to a GND pin on the Arduino board. The top left and bottom left legs of the button are connected together, and the top right and bottom right legs are connected together. If you have plugged the GND wire on the left side, then plug another wire on the right side, so they are not connected together. This other wire goes to a digital pin, for example 4.",,,,
3,ARDUINO,Joystick,"Joystick has 5 pins. GND pin needs to be connected to GND (0V). VCC pin needs to be connected to VCC (5V). VRX pin outputs an analog value corresponding to the horizontal position (called X-coordinate) and should be connected to pin A0. VRY pin  outputs an analog value corresponding to the vertical position (called Y-coordinate) and should be connected to pin A1. SW pin is the output from the pushbutton inside the joystick. It’s normally open. If we use a pull-up resistor in this pin, the SW pin will be HIGH when it is not press and LOW when it is pressed.",,,,
4,ARDUINO,Buzzer,Connect the Supply wire (RED) of the buzzer to the Digital Pin 9 of the Arduino through a 100 ohm resistor. Connect the Ground wire (BLACK) of the buzzer to any Ground Pin on the Arduino.,,,,
5,ARDUINO,Potentiometer,Connect the Potentiometer + Pin to 5V. Connect the Potentiometer - Pin to GND. Connect the Potentiometer Data Pin to A3.,,,,
6,ARDUINO,Photoresistor (LDR),"First, you need to connect the LDR to the analog input pin 0 on the Arduino. You have to use a voltage divider configuration to do this. One leg of the LDR is connected to VCC (5V) on the Arduino, and the other to the analog pin 0 on the Arduino. A 100K resistor is also connected to the same leg and grounded.",,,,
7,ARDUINO,7-segment displays,Connect the pins described below: Arduino Pin 2 to Pin 9. Arduino Pin 3 to Pin 10. Arduino Pin 4 to Pin 4. Arduino Pin 5 to Pin 2. Arduino Pin 6 to Pin 1. Arduino Pin 8 to Pin 7. Arduino Pin 9 to Pin 6. GND to Pin 3 and Pin 8 each connected with 220 ohm resistors.,,,,
8,ARDUINO,SEN18 Water Sensor,"S (Signal) is an analog output pin that will be connected to one of your Arduino’s analog inputs. + (VCC) pin provides power to the sensor. It is recommended that the sensor be powered from 3.3V to 5V. Please keep in mind that the analog output will vary depending on the voltage supplied to the sensor. – (GND) is the ground pin. To begin, connect the + (VCC) pin on the module to 5V on the Arduino and the – (GND) pin to ground. One well-known issue with these sensors is that they have a shorter lifespan because they are constantly exposed to moisture. Moreover, constantly applying power to the sensor while immersed in water significantly accelerates the rate of corrosion. To avoid this, it is recommended that the sensor be turned on only when taking readings. One easy way to do this is to connect the sensor’s power pin to a digital pin on an Arduino and set it to HIGH or LOW as needed. So, we’ll connect the + (VCC) pin to the Arduino’s digital pin #7. Finally, connect the S (Signal) pin to the Arduino’s A0 ADC pin.",,,,
9,ARDUINO,Liquid Crystal Display (LCD),"To wire your LCD screen to your board, connect the following pins: LCD RS pin to digital pin 12. LCD Enable pin to digital pin 11. LCD D4 pin to digital pin 5. LCD D5 pin to digital pin 4. LCD D6 pin to digital pin 3. LCD D7 pin to digital pin 2. LCD R/W pin to GND. LCD VSS pin to GND. LCD VCC pin to 5V. LCD LED+ to 5V through a 220 ohm resistor. LCD LED- to GND. Additionally, wire a 10k potentiometer to +5V and GND, with it's wiper (output) to LCD screens VO pin (pin3).",,,,
10,ARDUINO,SSD1306 OLED I2C display,"If you are using an Arduino UNO or an Arduino Nano connect VCC to 5V, GND to GND, SDA to pin A4 and SCL to pin A5. If you are not using an Arduino UNO the SDA and SCL connections might be on different pins.",,,,
11,ARDUINO,Relay,Connect an Arduino Ground Pin to the Ground Pin of your relay. Connect the Arduino 5V pin to the Relay's middle pin.  Connect Pin 13 to the Relay's Signal pin.,,,,
12,ARDUINO,Servo motor,"Connect the servo's signal wire to a digital output pin, VCC to 5V, and GND to GND.",,,,
13,ARDUINO,HC-SR04 Ultrasonic Sensor,"Connections are very simple: VCC to 5V. GND to GND. Trig to pin 9. Echo to pin 10. You can actually connect Trig and Echo to whichever digital pins you want, 9 and 10 are just the ones I'm using. ",,,,
14,ARDUINO,DHT11 Temperature and Humidity Sensor,DHT11 pin-1 is connected to 5v power supply pin on Arduino. DHT11 pin-2 is connected to digital pin-A0 on Arduino. DHT11 pin-3 is NC (not connected). DHT11 pin-4 is connected to GND (Ground) pin on Arduino.,,,,
15,ARDUINO,Micro SD Card Module,"This module uses the standard SPI interface for communication. Connect VCC with 5V in the Arduino. Then, connect the GND of SD card to the GND of Arduino. Connect CS to pin 14. Connect SCK to pin 13. MOSI connect to the pin 11. Lastly, connect MISO to pin 12.",,,,
